trimestre;receita;receita_pred;despesa;despesa_pred;benefm;benefm_pred;avg_ticket
2018Q1;2,15;;1,58;;551754,6666666666;;1298,8864616157907
2018Q2;2,16;;1,64;;555789,6666666666;;1295,4540956440956
2018Q3;2,29;;1,85;;559564,0;;1364,1573320180237
2018Q4;2,38;;1,25;;564459,6666666666;;1405,4739074950146
2019Q1;2,37;;1,87;;566867,3333333334;;1393,6241401574266
2019Q2;2,46;;1,98;;576833,3333333334;;1421,5544640277376
2019Q3;2,55;;1,95;;577843,0;;1470,9877942624553
2019Q4;2,65;;2,08;;585833,6666666666;;1507,8227551506372
2020Q1;2,75;;2,1;;625470,0;;1465,5645621159554
2020Q2;2,79;;1,75;;630837,6666666666;;1474,2302959081392
2020Q3;2,83;;2,15;;639071,6666666666;;1476,0994463323102
2020Q4;2,98;;2,46;;648078,6666666666;;1532,7357378425254
2021Q1;3,1;;2,41;;645841,3333333334;;1599,9801808906625
2021Q2;3,14;;2,65;;649671,0;;1611,0718604750198
2021Q3;3,2;;2,67;;652617,6666666666;;1634,4434439153501
2021Q4;3,27;;2,7;;658163,0;;1656,1246985929017
2022Q1;;3,3505;;2,841;;663140,7703703704;1684,1572456924514
2022Q2;;3,4365;;2,8930000000000002;;666847,9296296297;1717,7829443606668
2022Q3;;3,52;;2,942;;671782,1703703704;1746,5979078998853
2022Q4;;3,6025;;2,9710000000000005;;676709,3796296297;1774,5185296390634
2023Q1;;3,6685;;3,000000000000001;;679297,3722222223;1800,144359948004
2023Q2;;3,7279999999999998;;3,092000000000001;;684796,0796296297;1814,6521331412407
2023Q3;;3,8095;;3,117000000000001;;688881,3185185186;1843,3267083859778
2023Q4;;3,901;;3,146000000000001;;694442,387037037;1872,4855475505153
2024Q1;;3,9829999999999997;;3,175000000000001;;699420,1574074075;1898,2390664690404
2024Q2;;4,064;;3,247000000000001;;703855,6425925926;1924,6370771098273
2024Q3;;4,143;;3,2760000000000016;;708496,9277777779;1949,1968784276148
2024Q4;;4,2284999999999995;;3,3050000000000015;;714074,2185185186;1973,884455490177
