ano;cd_ops;trimestre;receita;despesa;benef
2018;418072;2018Q1;67090964,56;72643081,84;36953,0
2018;418072;2018Q2;51648304,94;66513568,68;27086,0
2018;418072;2018Q3;40553239,68;47286012,81;19393,0
2018;418072;2018Q4;27424886,2;41518160,38;13718,0
2019;418072;2019Q1;19109002,75;27378159,93;6237,0
2019;418072;2019Q2;6658731,24;20916543,53;279,0
2019;418072;2019Q3;391473,15;8660369,21;191,0
2019;418072;2019Q4;485700,82;9172913,71;152,0
2020;418072;2020Q1;2548765,08;1382285,39;124,0
2020;418072;2020Q2;2365850,93;2596291,95;110,0
2020;418072;2020Q3;333932,14;2082546,61;101,0
2020;418072;2020Q4;249882,64;1312664,49;97,0
2021;418072;2021Q1;266831,55;701814,8;85,0
2021;418072;2021Q2;204544,16;1095130,56;64,0
2021;418072;2021Q3;181562,13;1619801,96;58,0
2021;418072;2021Q4;182874,12;2224666,96;46,0
